Trt,Year,Cow Id,Date,Total_dist,Day_dist,NPre_dist,NPost_dist,Avg_speed,Day_avg_speed,NPre_avg_speed,NPost_avg_speed,Total_Siniosity,Day_Siniosity,Pre_Siniosity,Post_Siniosity,All_Wood,Day_Wood,Pre_Wood,Post_Wood,Cum_PPT_in,Act_PPT_in,Temp_c,Wind_Degree,Wind_mph,Lunar
Heavy,2004,84,3/9/2004,5494.534033390754,2191.8727059506728,1244.5289502186642,2058.132377221417,3.815648634299135,3.1090392992208122,3.199303213929728,5.948359471738199,0.005520508011685821,0.0017438085203521723,0.0048300276590692625,0.011146575053430833,0.0,0.0,0.0,0.0,1.9,0,9.6,303,7.2,0.9
Heavy,2004,84,3/10/2004,3555.1911469847178,2693.266540416878,404.70627268074526,457.21833388709314,2.4688827409616096,3.820236227541671,1.0377083914890903,1.325270533006067,0.007277437567371621,0.002330015982732264,0.03331295010284972,0.032929314658586145,0.0,0.0,0.0,0.0,1.9,0,9,128,8.2,0.83
Heavy,2004,84,3/11/2004,4314.332153002741,2726.523537669161,787.8112653924175,799.9973499411614,2.996063995140792,3.8674092732895904,2.020028885621583,2.318832898380178,0.08276286645786107,0.1012961519454865,0.1220865951859066,0.01933467049858935,0.0,0.0,0.0,0.0,1.9,0,13,257,10.4,0.73
Heavy,2004,84,3/12/2004,5298.747953044422,3691.757353775874,494.79773081231235,1112.192868456235,3.6796860785030705,5.2365352535828,1.2687121302879805,3.223747444800681,0.13616270145247855,0.19072830192482573,0.0297415306156449,0.021669758568849937,0.0,0.0,0.0,0.0,1.92,0.02,2.1,110,8.3,0.62
Heavy,2004,84,3/13/2004,6368.357523171548,3777.5158506765138,702.3854190198892,1888.4562534751444,4.39197070563555,5.358178511597892,1.755963547549723,5.47378624195694,0.07182892003022252,0.05532290649064701,0.012280561747540702,0.23870525260862185,0.0,0.0,0.0,0.0,1.98,0.06,2,146,5,0.5
Heavy,2004,84,3/14/2004,6307.024227846019,4203.324751966202,508.2384830282424,1595.460992851576,4.410506453039174,5.962162768746386,1.3374696921795852,4.62452461696109,0.0712707508439921,0.03746696911310974,0.048409212357102896,0.2414561348703062,0.0,0.0,0.0,0.0,1.98,0,9.1,279,9,0.4
Heavy,2005,84,3/15/2004,4548.04882436736,3350.2064433290966,347.6621736613719,850.1802073768919,3.1693720030434562,4.752065877062549,0.9030186328866803,2.464290456164904,0.17120593894861652,0.19653509191214497,0.33795615382847477,0.6354205462942724,0.0,0.0,0.0,0.0,1.98,0,7.4,109,9.1,0.29
Heavy,2005,101,2/19/2005,5454.610475089549,3820.315533393091,858.8067546487914,775.4881870476643,3.787923941034409,5.701963482676255,2.094650621094613,2.1541338529101783,0.006698663567858431,0.04939332880010897,0.2639704131978141,0.3142030213698241,0.0,0.0,0.0,0.0,4.28,0.05,4.2,162,4.3,0.83
Heavy,2005,101,2/20/2005,7046.2213804141065,5036.3529045774985,914.5697988765166,1095.2986769600868,4.893209291954241,7.516944633697759,2.2306580460402845,3.04249632488913,0.11799746463070013,0.13790070949158267,0.3083038900556041,0.34677036756225427,0.0,0.0,0.0,0.0,4.29,0.01,9.2,249,10.1,0.9
Heavy,2005,101,2/21/2005,5607.271274528241,4126.2936066132015,635.3494928798594,845.6281750351809,3.893938385089056,6.1586471740495545,1.5496329094630719,2.3489671528755025,0.030165478428589763,0.06791215869112373,0.24654465688589022,0.2102945977255499,0.6968641114982579,1.4925373134328357,0.0,0.0,4.29,0,6.6,263,11.8,0.95
Heavy,2005,101,2/22/2005,6673.153838980294,4987.46162579585,736.9699144644229,948.7222987200229,4.634134610402982,7.443972575814701,1.7974875962546901,2.6353397186667302,0.025538803805778724,0.0193915371513279,0.24382127971728917,0.29301288843412654,0.0,0.0,0.0,0.0,4.29,0,7.4,273,7.3,0.98
Heavy,2005,101,2/23/2005,7073.3335607320305,4592.1362147502,859.0506472815044,1622.146698700327,4.912037194952799,6.853934648880896,2.095245481174401,4.505963051945353,0.0485517356690675,0.06111526652356262,0.18168989532073795,0.21663314245461274,3.6900369003690034,5.084745762711865,0.0,5.555555555555555,4.29,0,7.5,252,5.4,1
Heavy,2005,101,2/24/2005,7513.621979336641,5796.3076943927135,938.1525086740855,779.1617762698402,5.217793041206001,8.651205514018976,2.2881768504245987,2.164338267416223,0.13018808564697212,0.12073246437497442,0.12666354590625425,0.27978563241663557,28.222996515679444,8.955223880597014,85.18518518518519,0.0,4.43,0.14,4.6,151,5.7,1
Heavy,2005,101,2/25/2005,5731.7644979159295,4201.938321409689,785.5228164571001,744.3033600491375,3.9803920124416177,6.271549733447297,1.9159093084319516,2.0675093334698262,0.014031855276435187,0.043497449858666104,0.06944522279039743,0.13936554721824854,4.181184668989547,9.022556390977442,0.0,0.0,4.44,0.01,-1.8,82,4.5,0.98
Heavy,2005,101,2/26/2005,6510.200767160687,4219.4400593293685,1039.3592420544894,1251.4014657768262,4.520972754972699,6.2976717303423415,2.5350225415963155,3.4761151827134062,0.10282112007693797,0.03754559901831668,0.08729191885791932,0.42829526368902204,0.0,0.0,0.0,0.0,4.7,0.26,0.1,137,3.4,0.94
Heavy,2005,101,2/27/2005,6648.478523798717,4692.7188868821895,945.1637781698736,1010.5958587466529,4.61699897486022,7.004058040122671,2.305277507731399,2.8072107187407025,0.07571297036183167,0.03069121779134079,0.1430497637584363,0.5010421612783428,0.0,0.0,0.0,0.0,4.7,0,2.6,271,5.7,0.88
Heavy,2005,101,2/28/2005,7752.848347342784,4392.527314768004,1094.4666136054543,2265.854418969326,5.383922463432489,6.556010917564184,2.669430764891352,6.294040052692573,0.013354371710917103,0.07573840588091937,0.31145426377059116,0.1655457958733277,2.083333333333333,0.0,2.4390243902439024,5.555555555555555,4.7,0,2.3,300,8,0.8
Heavy,2005,101,3/1/2005,5954.686777800166,3551.0839522641986,1617.4315269967176,786.1712985392583,4.135199151250116,5.036998513849927,4.147260325632609,2.2787573870703137,0.053830081969889275,0.1506380966502911,0.36084276686788413,0.5333978587304083,0.6944444444444444,0.0,2.564102564102564,0.0,4.7,0,4.9,280,8.7,0.71
