Cow_id,Date,Daily_period,Easting,Northing
10,2/21/2005,Day_MCP,457965.5133,3790082.875
10,2/21/2005,Day_MCP,457960.2493,3790083.514
10,2/21/2005,Day_MCP,457905.3872,3790085.146
10,2/21/2005,Day_MCP,457844.7799,3790086.867
10,2/21/2005,Day_MCP,456710.1525,3789867.248
10,2/21/2005,Post_MCP,457556.6116,3789688.238
10,2/21/2005,Post_MCP,457747.9932,3789604.025
10,2/21/2005,Post_MCP,457776.9441,3789591.758
10,2/21/2005,Post_MCP,457789.7738,3789590.283
10,2/21/2005,Post_MCP,457999.1408,3789665.793
10,2/21/2005,Post_MCP,457994.8778,3789684.385
10,2/21/2005,Post_MCP,457985.6001,3789691.48
10,2/21/2005,Post_MCP,457869.0369,3789753.73
10,2/21/2005,Post_MCP,457586.1343,3789700.702
10,2/21/2005,All_Day_MCP,456709.0353,3789852.652
10,2/21/2005,All_Day_MCP,456717.0893,3789845.993
10,2/21/2005,All_Day_MCP,457299.9108,3789554.091
10,2/21/2005,All_Day_MCP,457310.9699,3789550.037
10,2/21/2005,All_Day_MCP,457389.3747,3789528.797
10,2/21/2005,All_Day_MCP,457834.1143,3789586.727
10,2/21/2005,All_Day_MCP,457999.1408,3789665.793
10,2/21/2005,All_Day_MCP,457967.7422,3790078.891
10,2/21/2005,All_Day_MCP,457965.5133,3790082.875
10,2/21/2005,All_Day_MCP,457960.2493,3790083.514
10,2/21/2005,All_Day_MCP,457905.3872,3790085.146
10,2/21/2005,All_Day_MCP,457844.7799,3790086.867
10,2/21/2005,All_Day_MCP,456710.1525,3789867.248
10,2/22/2005,Pre_MCP,457826.6514,3789747.514
10,2/22/2005,Pre_MCP,457828.3576,3789723.543
10,2/22/2005,Pre_MCP,457835.9736,3789731.917
10,2/22/2005,Pre_MCP,457850.283,3789774.913
10,2/22/2005,Pre_MCP,457832.9589,3789755.679
10,2/22/2005,Day_MCP,456706.9922,3789858.853
10,2/22/2005,Day_MCP,456714.656,3789833.53
10,2/22/2005,Day_MCP,457744.0765,3789513.423
10,2/22/2005,Day_MCP,457750.5557,3789514.688
10,2/22/2005,Day_MCP,457759.0291,3789521.211
10,2/22/2005,Day_MCP,457907.3154,3789848.119
10,2/22/2005,Day_MCP,457912.726,3789861.648
10,2/22/2005,Day_MCP,457901.9217,3789961.37
10,2/22/2005,Day_MCP,457869.7118,3790028.878
10,2/22/2005,Day_MCP,457836.4522,3790071.689
10,2/22/2005,Day_MCP,457796.4738,3790094.63
10,2/22/2005,Day_MCP,457711.4656,3790092.241
10,2/22/2005,Day_MCP,457678.1843,3790085.184
10,2/22/2005,Day_MCP,456714.7896,3789862.451
10,2/22/2005,Post_MCP,457660.3568,3789693.498
10,2/22/2005,Post_MCP,457678.7408,3789555.793
10,2/22/2005,Post_MCP,457681.2429,3789549.098
10,2/22/2005,Post_MCP,457686.9054,3789546.917
10,2/22/2005,Post_MCP,457698.8515,3789551.636
10,2/22/2005,Post_MCP,457861.3054,3789883.532
10,2/22/2005,Post_MCP,457850.1015,3789894.27
10,2/22/2005,Post_MCP,457833.0673,3789894.409
10,2/22/2005,Post_MCP,457807.0803,3789871.455
10,2/22/2005,All_Day_MCP,456706.9922,3789858.853
10,2/22/2005,All_Day_MCP,456714.656,3789833.53
10,2/22/2005,All_Day_MCP,457744.0765,3789513.423
10,2/22/2005,All_Day_MCP,457750.5557,3789514.688
10,2/22/2005,All_Day_MCP,457759.0291,3789521.211
10,2/22/2005,All_Day_MCP,457907.3154,3789848.119
10,2/22/2005,All_Day_MCP,457912.726,3789861.648
10,2/22/2005,All_Day_MCP,457901.9217,3789961.37
10,2/22/2005,All_Day_MCP,457869.7118,3790028.878
10,2/22/2005,All_Day_MCP,457836.4522,3790071.689
10,2/22/2005,All_Day_MCP,457796.4738,3790094.63
10,2/22/2005,All_Day_MCP,457711.4656,3790092.241
10,2/22/2005,All_Day_MCP,457678.1843,3790085.184
10,2/22/2005,All_Day_MCP,456714.7896,3789862.451
10,2/23/2005,Pre_MCP,457859.8598,3789891.732
10,2/23/2005,Pre_MCP,457861.3907,3789877.926
10,2/23/2005,Pre_MCP,457866.7589,3789877.902
10,2/23/2005,Pre_MCP,457894.0321,3789908.427
10,2/23/2005,Pre_MCP,457893.0792,3789911.542
10,2/23/2005,Pre_MCP,457881.6605,3789915.474
10,2/23/2005,Pre_MCP,457866.202,3789913.788
10,2/23/2005,Pre_MCP,457861.2516,3789898.194
10,2/23/2005,Day_MCP,457389.2211,3790120.961
10,2/23/2005,Day_MCP,457397.1709,3790006.249
10,2/23/2005,Day_MCP,457902.2367,3789906.45
10,2/23/2005,Day_MCP,457994.7382,3789926.549
10,2/23/2005,Day_MCP,458008.1326,3789929.938
10,2/23/2005,Day_MCP,458029.3422,3789943.088
