Cow_id,Date,r_pre,g_pre,t_pre,r_day,g_day,t_day,r_post,g_post,t_post,r_total,g_total,t_total
10,2/19/2005,0.9493670886075949,0.0379746835443038,0.012658227848101266,0.674074074074074,0.3037037037037037,0.022222222222222223,0.8888888888888888,0.09722222222222222,0.013888888888888888,0.8041958041958042,0.17832167832167833,0.017482517482517484
10,2/20/2005,0.9382716049382716,0.0,0.06172839506172839,0.5851851851851851,0.362962962962963,0.05185185185185185,0.8611111111111112,0.1111111111111111,0.027777777777777776,0.7534722222222222,0.19791666666666666,0.04861111111111111
10,2/21/2005,0.9753086419753086,0.024691358024691357,0.0,0.7089552238805971,0.208955223880597,0.08208955223880597,0.8611111111111112,0.1111111111111111,0.027777777777777776,0.8222996515679443,0.13240418118466898,0.04529616724738676
10,2/22/2005,0.9876543209876543,0.012345679012345678,0.0,0.7481481481481481,0.1925925925925926,0.05925925925925926,0.9305555555555556,0.05555555555555555,0.013888888888888888,0.8611111111111112,0.1076388888888889,0.03125
10,2/23/2005,0.9629629629629629,0.037037037037037035,0.0,0.6115702479338843,0.30578512396694213,0.08264462809917356,0.7777777777777778,0.20833333333333334,0.013888888888888888,0.7591240875912408,0.20072992700729927,0.040145985401459854
10,2/24/2005,0.8888888888888888,0.07407407407407407,0.037037037037037035,0.725925925925926,0.0962962962962963,0.17777777777777778,0.9577464788732394,0.04225352112676056,0.0,0.8292682926829268,0.07665505226480836,0.09407665505226481
10,2/25/2005,0.9259259259259259,0.04938271604938271,0.024691358024691357,0.6814814814814815,0.26666666666666666,0.05185185185185185,0.9,0.08571428571428572,0.014285714285714285,0.8041958041958042,0.16083916083916083,0.03496503496503497
10,2/26/2005,0.9875,0.0125,0.0,0.6240601503759399,0.3308270676691729,0.045112781954887216,0.8493150684931506,0.1506849315068493,0.0,0.7832167832167832,0.1958041958041958,0.02097902097902098
10,2/27/2005,0.9876543209876543,0.012345679012345678,0.0,0.37037037037037035,0.43703703703703706,0.1925925925925926,0.8333333333333334,0.1388888888888889,0.027777777777777776,0.6597222222222222,0.24305555555555555,0.09722222222222222
10,2/28/2005,0.9259259259259259,0.07407407407407407,0.0,0.6194029850746269,0.291044776119403,0.08955223880597014,0.6527777777777778,0.25,0.09722222222222222,0.7142857142857143,0.21951219512195122,0.06620209059233449
10,3/1/2005,0.8961038961038961,0.05194805194805195,0.05194805194805195,0.6549295774647887,0.30985915492957744,0.035211267605633804,0.9420289855072463,0.057971014492753624,0.0,0.7881944444444444,0.18055555555555555,0.03125
10,3/2/2005,1.0,0.0,0.0,0.6737588652482269,0.2695035460992908,0.05673758865248227,0.8840579710144928,0.11594202898550725,0.0,0.8118466898954704,0.1602787456445993,0.027874564459930314
10,3/3/2005,0.9078947368421053,0.07894736842105263,0.013157894736842105,0.6549295774647887,0.28169014084507044,0.06338028169014084,0.8985507246376812,0.043478260869565216,0.057971014492753624,0.7804878048780488,0.17073170731707318,0.04878048780487805
10,3/4/2005,1.0,0.0,0.0,0.6524822695035462,0.24113475177304963,0.10638297872340426,0.9264705882352942,0.029411764705882353,0.04411764705882353,0.8111888111888111,0.1258741258741259,0.06293706293706294
10,3/5/2005,0.922077922077922,0.06493506493506493,0.012987012987012988,0.7588652482269503,0.19148936170212766,0.04964539007092199,0.927536231884058,0.043478260869565216,0.028985507246376812,0.8432055749128919,0.12195121951219512,0.03484320557491289
10,3/6/2005,0.961038961038961,0.03896103896103896,0.0,0.624113475177305,0.2695035460992908,0.10638297872340426,0.9565217391304348,0.043478260869565216,0.0,0.794425087108014,0.15331010452961671,0.05226480836236934
10,3/7/2005,0.961038961038961,0.03896103896103896,0.0,0.6170212765957447,0.2198581560283688,0.16312056737588654,0.9558823529411765,0.014705882352941176,0.029411764705882353,0.7902097902097902,0.12237762237762238,0.08741258741258741
10,3/8/2005,0.922077922077922,0.05194805194805195,0.025974025974025976,0.6099290780141844,0.2765957446808511,0.11347517730496454,0.855072463768116,0.10144927536231885,0.043478260869565216,0.7526132404181185,0.17421602787456447,0.07317073170731707
10,3/9/2005,0.9868421052631579,0.013157894736842105,0.0,0.6428571428571429,0.2571428571428571,0.1,0.9117647058823529,0.058823529411764705,0.029411764705882353,0.7992957746478874,0.1443661971830986,0.056338028169014086
10,3/10/2005,0.948051948051948,0.03896103896103896,0.012987012987012988,0.7112676056338029,0.2112676056338028,0.07746478873239436,0.8840579710144928,0.08695652173913043,0.028985507246376812,0.8159722222222222,0.13541666666666666,0.04861111111111111
10,3/11/2005,0.8961038961038961,0.1038961038961039,0.0,0.647887323943662,0.2605633802816901,0.09154929577464789,0.8115942028985508,0.15942028985507245,0.028985507246376812,0.7534722222222222,0.19444444444444445,0.052083333333333336
10,3/12/2005,0.7763157894736842,0.18421052631578946,0.039473684210526314,0.6115107913669064,0.26618705035971224,0.1223021582733813,0.9565217391304348,0.028985507246376812,0.014492753623188406,0.7394366197183099,0.18661971830985916,0.07394366197183098
10,3/13/2005,0.9210526315789473,0.06578947368421052,0.013157894736842105,0.7571428571428571,0.21428571428571427,0.02857142857142857,0.8405797101449275,0.11594202898550725,0.043478260869565216,0.8210526315789474,0.15087719298245614,0.028070175438596492
10,3/14/2005,0.8947368421052632,0.10526315789473684,0.0,0.6690140845070423,0.2112676056338028,0.11971830985915492,0.7971014492753623,0.17391304347826086,0.028985507246376812,0.759581881533101,0.17421602787456447,0.06620209059233449
