Cow_id,Date,Pre_MCP_area,Day_MCP_Area,Post_MCP_Area,All_Day_area
10,2/19/2005,4483.023297401145,138767.3619299084,16244.091834142804,174530.46048159152
10,2/20/2005,7182.384689599276,547474.4508463442,30314.37612483371,790266.5132812262
10,2/21/2005,992.3819372480502,416587.7817353979,39683.18856628612,455720.3935768977
10,2/22/2005,420.49234965257347,380555.3795076534,23841.079856015742,380555.3795076534
10,2/23/2005,740.7920006532222,468395.82014903426,53916.24597591162,536519.1709712446
10,2/24/2005,21501.375140685588,1149329.1848605536,3182.941162403673,1172486.1925190948
10,2/25/2005,4012.877560660243,342068.00946104527,9786.906884137541,421254.7689380199
10,2/26/2005,536.2479931954294,396240.48584727943,20502.61444451951,442602.69898705184
10,2/27/2005,199.912856050767,482132.94829713553,28164.212233684957,509985.57463572174
10,2/28/2005,10693.091158600844,451656.0695349567,96647.09050239623,609496.4908338331
10,3/1/2005,111271.56932822429,293571.9955051616,15653.546158023179,455548.56357626617
10,3/2/2005,139.3188852011226,356342.4712500628,9332.917796470225,365815.897970384
10,3/3/2005,3723.476042497903,435513.1109017879,38484.74605519348,543559.3216795474
10,3/4/2005,277.2779480498284,524462.0487027466,4929.364027210511,621194.2728265226
10,3/5/2005,30612.40077150613,272073.7502003461,17755.17864511162,558455.5519927442
10,3/6/2005,480.5791087541729,416381.41795391403,4404.971245713532,470565.31228671037
10,3/7/2005,348.81847680266947,1304826.1502088904,6055.0390243418515,1343949.3639014363
10,3/8/2005,4996.991159693338,575683.8429489881,21138.16639882326,610029.8267278522
10,3/9/2005,216.2661729475949,388334.3692550957,28673.477176558226,610747.607845664
10,3/10/2005,5666.2930210754275,435152.75212308764,20051.522395785898,557327.7876859307
10,3/11/2005,1554.3538534520194,572336.8780961558,35855.10226936266,572336.8780961558
10,3/12/2005,14330.434945035726,908529.6911090612,4112.937912583351,949537.5206656158
10,3/13/2005,16062.808544180356,202180.11955046654,17673.180978171527,408529.0317519307
10,3/14/2005,1912.3343975041062,731062.8692886084,60796.499154895544,826420.256044969
10,3/15/2005,463.8544977987185,573469.1195407184,745752.3465045616,2550348.196283755
84,2/28/2004,5799.735070313327,323632.065195119,592.2086316989735,332617.8188538458
84,2/29/2004,3148.0443589030765,877598.9858238846,17996.676248706877,901431.908945635
84,3/1/2004,2767.851810060907,1162286.691763565,66476.0194182517,1186099.3666060567
84,3/2/2004,4650.470957436599,511504.6887449771,8487.745164492866,559729.0357816666
84,3/3/2004,11897.6980405082,183874.17545983195,5083.290592351928,236006.7374805659
84,3/4/2004,8144.538301646709,604723.9240197456,12792.99503973499,604857.035716257
84,3/5/2004,2391.5568591021,727102.5416005328,37225.760054036975,776094.585267596
84,3/6/2004,10640.36292843474,239943.0027283784,2468.9104947093874,250517.90411291085
84,3/7/2004,1275.500742292963,78833.56518533826,4033.3650119621307,139127.25394484913
84,3/8/2004,2046.0296646039933,196798.33938837238,3649.897437953914,196798.33938837238
84,3/9/2004,14603.150033541024,35762.86058319453,79094.47083505243,108847.97484606504
84,3/10/2004,562.7792731011286,40308.90970917116,358.05343349836767,42987.02269381564
84,3/11/2004,7200.931121645495,48449.97891393211,4096.383241091622,49265.45378010627
84,3/12/2004,2240.63504049927,196432.3926819116,10203.856062490027,230238.33799029514
84,3/13/2004,3263.5178210865706,196496.85844014585,84014.75017019734,240640.49409022927
84,3/14/2004,2070.5001589991152,114526.48998600245,46460.67747375183,129524.47663322836
84,3/15/2004,901.7149745002389,136040.26072293008,7783.028180741705,173252.28802948492
101,2/19/2005,9135.382585253567,167213.97509518266,20561.50214868784,183425.7798077315
101,2/20/2005,8115.814604610205,724087.8847109969,52698.40848180652,924079.4351759846
101,2/21/2005,3716.3492971193045,553929.4566107318,14542.622142978013,554797.0153794512
101,2/22/2005,10143.968045257032,352475.65512700565,21996.08135588467,353411.7035480533
101,2/23/2005,13792.616742108017,466778.0815876126,92785.08655592427,487048.1743540764
101,2/24/2005,8252.527470508823,1249026.2534023821,8883.43314843392,1312572.6774196923
101,2/25/2005,1020.6993479970843,420789.5177581161,3575.1990128420293,422612.9473338574
101,2/26/2005,9955.668122179806,384173.3243424222,46912.55494398065,424416.5275152549
101,2/27/2005,4204.06437561661,405398.36610090826,43966.968970015645,421288.9033741662
101,2/28/2005,32497.643547438085,371920.7538787504,96207.08218877576,615117.2642401834
101,3/1/2005,110465.9646591004,450357.720664382,24176.45480018854,640964.9257493466
101,3/2/2005,4451.398681242019,485419.9895812515,8212.922563564032,485419.9895812515
101,3/3/2005,7950.820101162419,560375.8877163976,24472.819891568273,614349.9170343131
101,3/4/2005,9888.003376875073,895310.911827147,6835.569693735335,944828.5377641916
101,3/5/2005,43838.76078187302,562430.1546897814,10673.858474053442,871600.300014168
101,3/6/2005,1783.7188475430012,1241361.6456990875,9502.654344384558,1329571.583425168
101,3/7/2005,3367.7375252991915,1322783.4000165127,5196.914087243378,1400731.7493846677
101,3/8/2005,7195.451314508915,562579.4033686072,17922.149296469986,593483.606424585
101,3/9/2005,2940.31345689483,820051.0134428293,49374.46014279872,860598.2761790007
101,3/10/2005,15186.578103986336,303147.12359957723,10762.635251507163,429089.3486684337
101,3/11/2005,5654.168371048756,524596.4866418121,55067.55980324745,614606.9407216785
101,3/12/2005,17358.80261642812,327173.85269516753,20918.94169843383,341139.970488735
101,3/13/2005,9750.903692433145,377270.0500048101,29073.00659524277,377270.0500048101
101,3/14/2005,5225.639099202119,458658.37611526577,27073.646438200027,476245.54935310734
