Trt,Year,Cow Id,Date,Total_dist,Day_dist,NPre_dist,NPost_dist,Avg_speed,Day_avg_speed,NPre_avg_speed,NPost_avg_speed,Total_Siniosity,Day_Siniosity,Pre_Siniosity,Post_Siniosity,All_Wood,Day_Wood,Pre_Wood,Post_Wood
Heavy,2004,84,2/28/2004,5378.3000857350025,3941.807642149107,844.5546661024497,591.9377774834426,3.734930615093752,5.883294988282249,2.05988942951817,1.6442716041206737,0.08319930009374761,0.10656913408932309,0.1396864989127848,0.03125358666772309,88.05970149253731,78.35820895522389,96.72131147540983,100.0
Heavy,2004,84,2/29/2004,7319.45083087616,5021.743375725301,950.729674475363,1346.9777806754914,5.082951965886222,7.495139366754181,2.318852864574056,3.7416049463208094,0.1211035621296935,0.14111210590395992,0.05452496505877518,0.15357511234424975,82.62411347517731,63.43283582089553,100.0,100.0
Heavy,2004,84,3/1/2004,8590.366769934462,5994.1332194783645,1005.9920471272028,1590.2415033288928,5.965532479121155,8.502316623373567,2.5794667875056483,4.6093956618228775,0.19856713415362115,0.3338845173047934,0.04028497661818964,0.16574559081196552,59.64912280701754,68.08510638297872,98.66666666666667,0.0
Heavy,2004,84,3/2/2004,6055.86114418818,4279.571577396734,775.7442583381529,1000.5453084532929,4.205459127908458,6.070314294179765,1.9890878418926998,2.9001313288501245,0.18057622402302817,0.2602124082601538,0.1751337087124667,0.11081241680255614,35.76388888888889,23.404255319148938,1.282051282051282,100.0
Heavy,2004,84,3/3/2004,5101.9972675223735,3130.1479550066038,1130.3827820144513,841.4665305013239,3.5430536580016483,4.439926177314332,2.8984173897806444,2.439033421742968,0.14606003872508974,0.17692408316356703,0.11530490547927623,0.13085637999445407,92.65734265734265,95.0354609929078,81.81818181818183,100.0
Heavy,2004,84,3/4/2004,9027.147689785268,6989.462760535454,1069.3590074649053,968.3259217849093,6.26885256235088,9.914131575227595,2.7419461729869368,2.8067418022750994,0.028340002715097023,0.04947209904363988,0.048170507010275275,0.056242205680457694,91.95804195804196,84.39716312056737,98.7012987012987,100.0
Heavy,2004,84,3/5/2004,7175.0887190645535,4756.821304604923,693.7945243293879,1724.472890130244,4.9827004993503845,6.747264261850955,1.7789603187933023,4.998472145305055,0.1273592650510425,0.25765824020651823,0.11635099510711487,0.1712033725610301,83.77358490566039,79.66101694915254,98.71794871794873,73.91304347826086
Heavy,2004,84,3/6/2004,4981.511168790778,3360.5548321167057,1054.8568232388495,566.099513435222,3.459382756104707,4.766744442718731,2.7047610852278194,1.6408681548847013,0.0984842094834628,0.2412476168274443,0.24860592632429732,0.1606979998974459,26.223776223776223,2.127659574468085,94.73684210526315,0.0
Heavy,2004,84,3/7/2004,4567.779276397051,2969.6037015791394,706.7000852542652,891.4754895636468,3.1720689419423964,4.212203832027148,1.8120515006519622,2.58398692627144,0.08830349750280246,0.11686340781399507,0.04245244519013271,0.07089203258199635,0.0,0.0,0.0,0.0
Heavy,2004,84,3/8/2004,6946.45512381344,5369.167243607169,767.629896277465,809.6579839288015,4.823927169314889,7.615840061854141,1.9682817853268335,2.3468347360255115,0.13066934738799715,0.16519536238353474,0.061366978466232354,0.14222502261457243,0.0,0.0,0.0,0.0
Heavy,2004,84,3/9/2004,5494.534033390754,2191.8727059506728,1244.5289502186642,2058.132377221417,3.815648634299135,3.1090392992208122,3.199303213929728,5.948359471738199,0.012810799194817327,0.005592410620740992,0.005265005924255082,0.035965738135717656,0.0,0.0,0.0,0.0
Heavy,2004,84,3/10/2004,3555.1911469847178,2693.266540416878,404.70627268074526,457.21833388709314,2.4688827409616096,3.820236227541671,1.0377083914890903,1.325270533006067,0.008925992135045198,0.009481859147328141,0.049279870329045024,0.0457188568894817,0.0,0.0,0.0,0.0
Heavy,2004,84,3/11/2004,4314.332153002741,2726.523537669161,787.8112653924175,799.9973499411614,2.996063995140792,3.8674092732895904,2.020028885621583,2.318832898380178,0.08465215994634359,0.10582831831455349,0.13846065121409087,0.03639106594388977,0.0,0.0,0.0,0.0
Heavy,2004,84,3/12/2004,5298.747953044422,3691.757353775874,494.79773081231235,1112.192868456235,3.6796860785030705,5.2365352535828,1.2687121302879805,3.223747444800681,0.1381583918392903,0.1893801413995279,0.008533628606706964,0.03797375338643696,0.0,0.0,0.0,0.0
Heavy,2004,84,3/13/2004,6368.357523171548,3777.5158506765138,702.3854190198892,1888.4562534751444,4.39197070563555,5.358178511597892,1.755963547549723,5.47378624195694,0.07023660928895717,0.057079756359775864,0.02577806547433761,0.2296169028041094,0.0,0.0,0.0,0.0
Heavy,2004,84,3/14/2004,6307.024227846019,4203.324751966202,508.2384830282424,1595.460992851576,4.410506453039174,5.962162768746386,1.3374696921795852,4.62452461696109,0.0727201312215851,0.04112484599751152,0.006594973936800788,0.24726826216317177,0.0,0.0,0.0,0.0
Heavy,2005,84,3/15/2004,4548.04882436736,3350.2064433290966,347.6621736613719,850.1802073768919,3.1693720030434562,4.752065877062549,0.9030186328866803,2.464290456164904,0.17850535550219668,0.19380639643810968,0.2669478345974484,0.05439493526217866,0.0,0.0,0.0,0.0
Heavy,2005,101,2/19/2005,5454.610475089549,3820.315533393091,858.8067546487914,775.4881870476643,3.787923941034409,5.701963482676255,2.094650621094613,2.1541338529101783,0.007132584312337158,0.06340366869417081,0.18386653766993288,0.28698670452734604,0.0,0.0,0.0,0.0
