Pixel,Northing,Easting
211,3630417.378,544337.2045
212,3627177.378,538727.2045
213,3627327.378,543317.2045
214,3630777.378,544187.2045
215,3624027.378,540257.2045
216,3627027.378,539207.2045
217,3626907.378,543737.2045
218,3627897.378,543377.2045
219,3625287.378,545237.2045
220,3625707.378,545837.2045
221,3630567.378,545207.2045
222,3626427.378,544397.2045
223,3625707.378,542687.2045
224,3625767.378,541697.2045
225,3625587.378,546197.2045
226,3626247.378,543767.2045
227,3627147.378,539957.2045
228,3627237.378,542837.2045
229,3625407.378,540677.2045
230,3630597.378,543467.2045
231,3626787.378,541937.2045
232,3625737.378,545177.2045
233,3626577.378,541517.2045
234,3625767.378,538187.2045
235,3626127.378,539867.2045
236,3625407.378,537737.2045
237,3628797.378,543947.2045
238,3625737.378,537887.2045
239,3625917.378,540467.2045
240,3623547.378,539027.2045
241,3628047.378,541607.2045
242,3626877.378,548507.2045
243,3627837.378,542057.2045
244,3626517.378,542057.2045
245,3625617.378,543377.2045
246,3625617.378,544157.2045
247,3626697.378,539627.2045
248,3628887.378,544307.2045
249,3623067.378,543737.2045
250,3625647.378,543287.2045
251,3625527.378,543227.2045
252,3627327.378,546527.2045
253,3627927.378,545687.2045
254,3626577.378,545657.2045
255,3627867.378,539237.2045
256,3625437.378,544727.2045
257,3627747.378,539087.2045
258,3628227.378,542897.2045
259,3626367.378,548087.2045
260,3627777.378,543047.2045
261,3625737.378,543407.2045
262,3625497.378,544487.2045
263,3630117.378,543347.2045
264,3626727.378,538667.2045
265,3626277.378,538037.2045
266,3626907.378,546257.2045
267,3628377.378,547067.2045
268,3626247.378,539267.2045
269,3625257.378,547217.2045
270,3626967.378,547877.2045
271,3628857.378,548297.2045
272,3626157.378,548027.2045
273,3625407.378,542327.2045
274,3627867.378,546467.2045
275,3626067.378,542507.2045
276,3625407.378,548417.2045
277,3624207.378,542147.2045
278,3627087.378,547907.2045
279,3626817.378,542717.2045
280,3626757.378,541757.2045
281,3630087.378,541997.2045
282,3625767.378,545297.2045
283,3625317.378,541367.2045
284,3626367.378,539297.2045
285,3627837.378,542237.2045
286,3630327.378,543947.2045
287,3627507.378,543017.2045
288,3626427.378,545957.2045
289,3627807.378,540857.2045
290,3627237.378,539567.2045
291,3626577.378,542897.2045
292,3625587.378,540947.2045
293,3626457.378,542837.2045
294,3629307.378,541637.2045
295,3625917.378,542657.2045
296,3625257.378,546197.2045
297,3623817.378,547097.2045
298,3628467.378,545387.2045
299,3625677.378,542477.2045
300,3625557.378,541967.2045
301,3625497.378,544187.2045
302,3625857.378,544097.2045
303,3627267.378,540947.2045
304,3627387.378,538487.2045
305,3630507.378,545117.2045
306,3628557.378,545987.2045
307,3626427.378,540917.2045
308,3627267.378,545507.2045
309,3626307.378,541187.2045
310,3626127.378,538607.2045
311,3627567.378,543677.2045
312,3627867.378,548417.2045
313,3625767.378,543197.2045
314,3627267.378,543827.2045
315,3628767.378,544997.2045
316,3626337.378,541667.2045
317,3628257.378,546407.2045
318,3627777.378,539327.2045
319,3626187.378,539177.2045
320,3626607.378,542807.2045
321,3626637.378,541187.2045
322,3628947.378,545177.2045
323,3628617.378,546287.2045
324,3626007.378,543767.2045
325,3628167.378,539447.2045
326,3626097.378,539927.2045
327,3627867.378,543407.2045
328,3627657.378,540077.2045
329,3625647.378,546827.2045
330,3625257.378,544127.2045
331,3628227.378,545597.2045
332,3625377.378,548537.2045
333,3627417.378,541097.2045
334,3626487.378,547607.2045
335,3627117.378,541787.2045
336,3627357.378,538637.2045
337,3628677.296,539417.2873
338,3627177.378,547697.2045
339,3626367.378,541547.2045
340,3625377.378,545327.2045
341,3626337.378,540407.2045
342,3626727.378,541907.2045
